rep_population,regime,bacterium,block,vial,female,age,dead
RP1,aFLX,aNaive,A,1,1,528,0
RP1,aFLX,aNaive,A,1,2,528,0
RP1,aFLX,aNaive,A,1,3,528,0
RP1,aFLX,aNaive,A,1,4,528,0
RP1,aFLX,aNaive,A,1,5,528,0
RP1,aFLX,aNaive,A,2,1,144,1
RP1,aFLX,aNaive,A,2,2,528,0
RP1,aFLX,aNaive,A,2,3,528,0
RP1,aFLX,aNaive,A,2,4,528,0
RP1,aFLX,aNaive,A,2,5,528,0
RP1,aFLX,aNaive,B,1,1,528,0
RP1,aFLX,aNaive,B,1,2,528,0
RP1,aFLX,aNaive,B,1,3,528,0
RP1,aFLX,aNaive,B,1,4,528,0
RP1,aFLX,aNaive,B,1,5,528,0
RP1,aFLX,aNaive,B,2,1,408,1
RP1,aFLX,aNaive,B,2,2,528,0
RP1,aFLX,aNaive,B,2,3,528,0
RP1,aFLX,aNaive,B,2,4,528,0
RP1,aFLX,aNaive,B,2,5,528,0
RP1,aFLX,bPent,A,1,1,24,1
RP1,aFLX,bPent,A,1,2,24,1
RP1,aFLX,bPent,A,1,3,24,1
RP1,aFLX,bPent,A,1,4,48,1
RP1,aFLX,bPent,A,1,5,96,1
RP1,aFLX,bPent,A,2,1,24,1
RP1,aFLX,bPent,A,2,2,24,1
RP1,aFLX,bPent,A,2,3,24,1
RP1,aFLX,bPent,A,2,4,48,1
RP1,aFLX,bPent,A,2,5,48,1
RP1,aFLX,bPent,B,1,1,24,1
RP1,aFLX,bPent,B,1,2,48,1
RP1,aFLX,bPent,B,1,3,168,1
RP1,aFLX,bPent,B,1,4,168,1
RP1,aFLX,bPent,B,1,5,168,1
RP1,aFLX,bPent,B,2,1,24,1
RP1,aFLX,bPent,B,2,2,24,1
RP1,aFLX,bPent,B,2,3,24,1
RP1,aFLX,bPent,B,2,4,48,1
RP1,aFLX,bPent,B,2,5,48,1
RP1,bCFM,aNaive,A,1,1,528,0
RP1,bCFM,aNaive,A,1,2,528,0
RP1,bCFM,aNaive,A,1,3,528,0
RP1,bCFM,aNaive,A,1,4,528,0
RP1,bCFM,aNaive,A,1,5,528,0
RP1,bCFM,aNaive,A,2,1,528,0
RP1,bCFM,aNaive,A,2,2,528,0
RP1,bCFM,aNaive,A,2,3,528,0
RP1,bCFM,aNaive,A,2,4,528,0
RP1,bCFM,aNaive,A,2,5,528,0
RP1,bCFM,aNaive,B,1,1,528,0
RP1,bCFM,aNaive,B,1,2,528,0
RP1,bCFM,aNaive,B,1,3,528,0
RP1,bCFM,aNaive,B,1,4,528,0
RP1,bCFM,aNaive,B,1,5,528,0
RP1,bCFM,aNaive,B,2,1,528,0
RP1,bCFM,aNaive,B,2,2,528,0
RP1,bCFM,aNaive,B,2,3,528,0
RP1,bCFM,aNaive,B,2,4,528,0
RP1,bCFM,aNaive,B,2,5,528,0
RP1,bCFM,bPent,A,1,1,24,1
RP1,bCFM,bPent,A,1,2,24,1
RP1,bCFM,bPent,A,1,3,48,1
RP1,bCFM,bPent,A,1,4,48,1
RP1,bCFM,bPent,A,1,5,48,1
RP1,bCFM,bPent,A,2,1,24,1
RP1,bCFM,bPent,A,2,2,24,1
RP1,bCFM,bPent,A,2,3,24,1
RP1,bCFM,bPent,A,2,4,48,1
RP1,bCFM,bPent,A,2,5,48,1
RP1,bCFM,bPent,B,1,1,24,1
RP1,bCFM,bPent,B,1,2,24,1
RP1,bCFM,bPent,B,1,3,24,1
RP1,bCFM,bPent,B,1,4,24,1
RP1,bCFM,bPent,B,1,5,48,1
RP1,bCFM,bPent,B,2,1,24,1
RP1,bCFM,bPent,B,2,2,24,1
RP1,bCFM,bPent,B,2,3,48,1
RP1,bCFM,bPent,B,2,4,48,1
RP1,bCFM,bPent,B,2,5,48,1
RP1,cCwt,aNaive,A,1,1,528,0
RP1,cCwt,aNaive,A,1,2,528,0
RP1,cCwt,aNaive,A,1,3,528,0
RP1,cCwt,aNaive,A,1,4,528,0
RP1,cCwt,aNaive,A,1,5,528,1
RP1,cCwt,aNaive,A,2,1,528,0
RP1,cCwt,aNaive,A,2,2,528,0
RP1,cCwt,aNaive,A,2,3,528,0
RP1,cCwt,aNaive,A,2,4,216,1
RP1,cCwt,aNaive,A,2,5,456,1
RP1,cCwt,aNaive,B,1,1,528,0
RP1,cCwt,aNaive,B,1,2,528,0
RP1,cCwt,aNaive,B,1,3,528,0
RP1,cCwt,aNaive,B,1,4,528,0
RP1,cCwt,aNaive,B,1,5,528,0
RP1,cCwt,aNaive,B,2,1,528,0
RP1,cCwt,aNaive,B,2,2,528,0
RP1,cCwt,aNaive,B,2,3,528,0
RP1,cCwt,aNaive,B,2,4,528,0
RP1,cCwt,aNaive,B,2,5,528,0
RP1,cCwt,bPent,A,1,1,24,1
RP1,cCwt,bPent,A,1,2,24,1
RP1,cCwt,bPent,A,1,3,24,1
RP1,cCwt,bPent,A,1,4,24,1
RP1,cCwt,bPent,A,1,5,528,0
RP1,cCwt,bPent,A,2,1,24,1
RP1,cCwt,bPent,A,2,2,24,1
RP1,cCwt,bPent,A,2,3,24,1
RP1,cCwt,bPent,A,2,4,24,1
RP1,cCwt,bPent,A,2,5,528,0
RP1,cCwt,bPent,B,1,1,24,1
RP1,cCwt,bPent,B,1,2,24,1
RP1,cCwt,bPent,B,1,3,24,1
RP1,cCwt,bPent,B,1,4,24,1
RP1,cCwt,bPent,B,1,5,24,1
RP1,cCwt,bPent,B,2,1,24,1
RP1,cCwt,bPent,B,2,2,24,1
RP1,cCwt,bPent,B,2,3,24,1
RP1,cCwt,bPent,B,2,4,24,1
RP1,cCwt,bPent,B,2,5,24,1
RP2,aFLX,aNaive,A,1,1,528,0
RP2,aFLX,aNaive,A,1,2,528,0
RP2,aFLX,aNaive,A,1,3,528,0
RP2,aFLX,aNaive,A,1,4,528,0
RP2,aFLX,aNaive,A,1,5,528,0
RP2,aFLX,aNaive,A,2,1,528,0
RP2,aFLX,aNaive,A,2,2,528,0
RP2,aFLX,aNaive,A,2,3,528,0
RP2,aFLX,aNaive,A,2,4,528,0
RP2,aFLX,aNaive,A,2,5,528,0
RP2,aFLX,aNaive,B,1,1,528,0
RP2,aFLX,aNaive,B,1,2,528,0
RP2,aFLX,aNaive,B,1,3,528,0
RP2,aFLX,aNaive,B,1,4,528,0
RP2,aFLX,aNaive,B,1,5,528,0
RP2,aFLX,aNaive,B,2,1,72,1
RP2,aFLX,aNaive,B,2,2,528,0
RP2,aFLX,aNaive,B,2,3,528,0
RP2,aFLX,aNaive,B,2,4,528,0
RP2,aFLX,aNaive,B,2,5,528,0
RP2,aFLX,bPent,A,1,1,24,1
RP2,aFLX,bPent,A,1,2,24,1
RP2,aFLX,bPent,A,1,3,24,1
RP2,aFLX,bPent,A,1,4,24,1
RP2,aFLX,bPent,A,1,5,96,1
RP2,aFLX,bPent,A,2,1,24,1
RP2,aFLX,bPent,A,2,2,24,1
RP2,aFLX,bPent,A,2,3,24,1
RP2,aFLX,bPent,A,2,4,48,1
